Food Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Vitamin C (mg),Diet Type
Shrimp Scampi,Dinner,380,35,25,18,2,100,3,10,Non-Vegetarian
Eggplant Parmesan,Dinner,400,20,40,20,8,300,3,15,Vegetarian
Pork Chop,Dinner,450,40,0,30,0,50,2,0,Non-Vegetarian
Almonds,Snack,160,6,6,14,4,75,1,0,Vegetarian
Protein Bar,Snack,200,20,20,6,3,100,2,0,Vegetarian
Hummus with Veggies,Snack,180,8,20,8,6,50,2,15,Vegetarian
Cheese and Crackers,Snack,200,10,15,12,1,200,0,0,Vegetarian
Hard Boiled Eggs,Snack,140,12,1,10,0,50,1,0,Non-Vegetarian
Trail Mix,Snack,200,6,20,12,3,50,2,0,Vegetarian
Greek Yogurt with Berries,Snack,150,15,15,4,2,200,0,30,Vegetarian
Edamame,Snack,120,11,10,5,6,60,2,10,Vegetarian
Turkey Jerky,Snack,100,15,3,2,0,20,2,0,Non-Vegetarian
Rice Cakes with PB,Snack,180,6,25,7,3,20,1,0,Vegetarian
Idli,Breakfast,58,1.6,12.2,0.4,0.3,8,0.2,0,Vegetarian
Poha,Breakfast,180,3,30,5,1.5,13,2,0,Vegetarian
Upma,Breakfast,200,5,30,7,2,10,1.5,0,Vegetarian
Aloo Paratha,Breakfast,290,6,35,15,4,50,1.2,0,Vegetarian
Masala Dosa,Breakfast,330,6,45,12,3,80,2,0,Vegetarian
Rajma Chawal,Lunch,330,12,50,8,7,60,2.2,0,Vegetarian
Chole Bhature,Lunch,450,13,40,25,5,90,2.5,0,Vegetarian
Chicken Curry,Lunch,350,25,5,22,0,40,3,0,Non-Vegetarian
Palak Paneer,Lunch,270,11,12,20,2,200,2,0,Vegetarian
Fish Curry,Lunch,300,23,4,18,0,35,2.8,0,Non-Vegetarian
Dal Tadka,Dinner,180,10,22,6,7,55,1.8,0,Vegetarian
Chapati + Sabzi,Dinner,220,6,35,6,4,40,1.4,0,Vegetarian
Chicken Biryani,Dinner,470,25,50,20,1,45,2.5,0,Non-Vegetarian
Curd Rice,Dinner,210,6,28,8,0,100,0.5,0,Vegetarian
Kadhi Chawal,Dinner,320,9,42,14,3,60,1.5,0,Vegetarian
Rava Dosa,Breakfast,220,5,30,10,1.5,35,0.8,0,Vegetarian
Thepla,Breakfast,160,4,20,8,2.5,40,1.1,0,Vegetarian
Vegetable Pulao,Lunch,310,6,45,12,3,70,1.2,0,Vegetarian
Egg Curry,Lunch,340,20,8,24,0,50,3,0,Non-Vegetarian
Bhindi Fry,Lunch,200,3,15,14,3,35,1,0,Vegetarian
Tandoori Chicken,Lunch,290,27,4,16,0,40,3.5,0,Non-Vegetarian
Khichdi,Dinner,240,8,38,7,5,60,1.3,0,Vegetarian
Stuffed Capsicum,Dinner,210,6,14,12,3,45,1.2,0,Vegetarian
Methi Paratha,Dinner,230,5,28,10,3,55,1.6,0,Vegetarian
Paneer Tikka,Snack,270,18,6,18,1,150,1.8,0,Vegetarian
Samosa,Snack,130,2,16,7,1,20,0.6,0,Vegetarian
Egg Roll,Snack,290,12,25,16,1,60,2.2,0,Non-Vegetarian
Sprouts Salad,Snack,150,9,15,6,4,60,1.5,0,Vegetarian
Fruit Chaat,Snack,120,1,26,1,3,30,0.7,5,Vegetarian
Moong Dal Chilla,Snack,180,9,20,7,4,40,1.2,0,Vegetarian
Moong Dal Chilla,Breakfast,189,12,20,8,4,40,2.6,0,Vegetarian
Vegetable Upma,Breakfast,200,5,32,6,3,25,1.2,2,Vegetarian
Besan Cheela,Breakfast,180,10,14,8,3,50,2,0,Vegetarian
Idli with Sambar,Breakfast,250,9,36,6,4,40,1.5,7,Vegetarian
Poha,Breakfast,180,4,26,5,2,13,1,1,Vegetarian
Ragi Dosa,Breakfast,210,6,30,7,3.5,100,2.7,0,Vegetarian
Dhokla,Snack,150,6,18,5,2,40,1,0,Vegetarian
Masala Oats,Breakfast,160,5,22,6,4,30,1.5,0,Vegetarian
Sprouts Salad,Snack,120,9,14,3,3,60,2,15,Vegetarian
Methi Thepla,Breakfast,180,4,25,7,3,40,1.8,2,Vegetarian
Rajma Chawal,Lunch,360,12,45,12,8,60,3.2,4,Vegetarian
Palak Paneer,Lunch,290,14,12,18,5,380,3.5,15,Vegetarian
Chicken Curry,Lunch,320,27,5,20,2,30,1.5,0,Non-Vegetarian
Brown Rice,Lunch,215,5,44,2,3.5,20,0.8,0,Vegetarian
Bhindi Sabzi,Lunch,110,3,11,6,4,70,1,21,Vegetarian
Chana Masala,Lunch,280,14,30,10,6,80,4,5,Vegetarian
Tandoori Chicken,Dinner,270,25,2,18,0,35,1.3,0,Non-Vegetarian
Dal Tadka,Dinner,190,10,20,8,4,50,2.5,3,Vegetarian
Jeera Rice,Dinner,210,4,38,4,1,10,0.7,0,Vegetarian
Aloo Gobi,Dinner,160,4,18,8,4,40,1.4,10,Vegetarian
Fish Curry,Lunch,280,22,3,18,0,25,1,0,Non-Vegetarian
Egg Curry,Dinner,250,15,6,18,1,60,2,0,Non-Vegetarian
Vegetable Pulao,Lunch,290,6,45,9,3,35,1.6,5,Vegetarian
Paneer Tikka,Dinner,310,16,8,22,2,420,1.2,2,Vegetarian
Mixed Vegetable Curry,Dinner,170,4,18,7,4,60,1.5,10,Vegetarian
Vegetable Khichdi,Lunch,240,8,34,6,4,45,2,3,Vegetarian
Stuffed Paratha,Breakfast,300,6,30,14,3,50,2.2,2,Vegetarian
Cucumber Raita,Lunch,80,4,6,4,0.5,100,0.6,1,Vegetarian
Matar Paneer,Dinner,310,13,18,22,5,350,3,5,Vegetarian
Tomato Rasam,Dinner,90,3,12,3,2,30,0.9,20,Vegetarian
Chicken Biryani,Lunch,400,25,45,15,2,40,2,1,Non-Vegetarian
Vegetable Sandwich,Snack,200,5,28,7,2,60,1,3,Vegetarian
Egg Bhurji,Breakfast,210,14,4,16,0.5,50,1.3,0,Non-Vegetarian
Rava Dosa,Breakfast,220,6,30,9,1,20,1,0,Vegetarian
Kadhi Pakora,Lunch,290,8,20,18,3,70,1.5,1,Vegetarian
Pumpkin Sabzi,Dinner,120,2,18,4,2,40,1,9,Vegetarian
Bajra Roti,Lunch,160,4,26,3,3,40,1.6,0,Vegetarian
Beetroot Poriyal,Lunch,130,3,18,6,4,30,1.4,5,Vegetarian
Mushroom Masala,Dinner,180,6,10,12,2,25,1.2,0,Vegetarian
Idli,Breakfast,58,1.6,12,0.4,0.3,8,0.2,0,Vegetarian
Poha,Breakfast,180,4,30,5,1,13,2,0,Vegetarian
Upma,Breakfast,200,5,30,7,1.5,20,1,1,Vegetarian
Dosa,Breakfast,133,2.7,18,5,0.6,10,0.5,0,Vegetarian
Sambar,Lunch,150,6,20,4,2,40,1.5,5,Vegetarian
Rajma,Lunch,210,9,35,2,7,70,3.5,4,Vegetarian
Chole,Lunch,220,10,30,7,8,80,2.8,6,Vegetarian
Tandoori Chicken,Lunch,265,25,5,17,1,15,1.2,0,Non-Vegetarian
Palak Paneer,Lunch,300,14,12,22,3.5,250,2.7,19,Vegetarian
Aloo Gobi,Lunch,150,3,20,7,4,60,1,10,Vegetarian
Bhindi Masala,Lunch,130,3,15,6,4,70,0.9,18,Vegetarian
Baingan Bharta,Lunch,120,2.5,10,7,3.5,50,1.3,13,Vegetarian
Mixed Vegetable Curry,Lunch,140,3,18,6,4,60,1.5,15,Vegetarian
Fish Curry,Lunch,230,22,5,15,0.5,30,1.8,1,Non-Vegetarian
Chicken Curry,Lunch,250,23,7,16,1,35,2,2,Non-Vegetarian
Toor Dal,Lunch,180,9,30,3,7,90,2,3,Vegetarian
Moong Dal,Lunch,150,10,25,1,5,70,1.7,2,Vegetarian
Masoor Dal,Lunch,180,12,30,2,6,80,3.3,3,Vegetarian
Khichdi,Lunch,200,6,32,4,2,55,1.8,1,Vegetarian
Vegetable Biryani,Lunch,300,6,45,10,3,60,2.2,5,Vegetarian
Chicken Biryani,Lunch,350,20,40,15,2,50,2.5,1,Non-Vegetarian
Ragi Roti,Dinner,80,2,15,1,2,40,1,0,Vegetarian
Missi Roti,Dinner,120,3,18,4,2.5,60,1.2,1,Vegetarian
Paratha (Plain),Dinner,150,3,20,6,3,30,1,0,Vegetarian
Paneer Bhurji,Dinner,280,14,8,22,1,200,2.4,4,Vegetarian
Methi Thepla,Dinner,100,2.5,16,4,2,45,1.5,2,Vegetarian
Dhokla,Snack,150,6,20,6,1.5,80,2,0,Vegetarian
Sprouts Salad,Snack,100,8,15,1,4,60,2.3,6,Vegetarian
Vegetable Soup,Snack,90,2,12,2,2,40,1,8,Vegetarian
Fruit Chaat,Snack,120,1,28,0.5,0.5,25,0.3,12,Vegetarian
Besan Chilla,Snack,130,6,15,5,2,30,1.5,1,Vegetarian
Paneer Tikka,Snack,220,18,6,14,0.8,180,1.7,1,Vegetarian
Oats Chilla,Snack,150,5,20,6,2,35,1.2,1,Vegetarian
Egg Bhurji,Dinner,190,14,5,13,0.4,50,1.2,1,Non-Vegetarian
Tomato Rasam,Lunch,70,2,10,2,1,25,0.7,9,Vegetarian
Pumpkin Curry,Lunch,130,3,18,5,3,60,1.2,7,Vegetarian
Carrot Poriyal,Lunch,110,2,14,5,2.5,40,1.1,6,Vegetarian
Beetroot Thoran,Lunch,100,2,15,4,2,35,1,5,Vegetarian
Curd Rice,Lunch,180,5,28,4,2,100,0.8,0,Vegetarian
Cucumber Raita,Snack,90,3,8,4,3,80,0.7,1,Vegetarian
Mooli Paratha,Dinner,160,4,20,6,3.5,50,1.2,2,Vegetarian
Kadhi,Lunch,150,6,15,8,1,70,1.5,1,Vegetarian
Bhature (1 piece),Lunch,250,5,35,10,2,45,1.3,0,Vegetarian
Thepla,Snack,120,3,18,4,2,50,1,1,Vegetarian
Vegetable Stew,Lunch,170,4,22,6,3,60,1.5,4,Vegetarian
Kitchari,Dinner,190,7,28,4,3,60,1.8,3,Vegetarian
Rava Kesari,Dessert,250,4,40,8,1,50,0.6,0,Vegetarian
Payasam,Dessert,300,6,35,12,1.5,70,0.8,0,Vegetarian
Sabudana Khichdi,Snack,250,3,40,10,2,60,0.9,2,Vegetarian
Quinoa Breakfast Bowl,Breakfast,210,8,32,6,5,40,2,6,Vegetarian
Tofu Scramble with Veggies,Breakfast,180,14,10,10,3,80,2,10,Vegetarian
Veggie Omelette,Breakfast,160,12,4,10,2,100,2,12,Non-Vegetarian
Chia Pudding with Berries,Breakfast,200,6,20,10,10,180,1,15,Vegetarian
Whole Grain Pancakes,Breakfast,220,7,35,5,4,90,2,2,Vegetarian
Peanut Butter Banana Toast,Breakfast,250,9,30,12,4,40,1,10,Vegetarian
Smoothie Bowl,Breakfast,240,6,40,8,6,70,1,20,Vegetarian
Mushroom & Spinach Omelette,Breakfast,190,13,5,12,3,110,2,15,Non-Vegetarian
Cottage Cheese with Fruit,Breakfast,150,13,10,5,1,100,0,8,Vegetarian
Almond Butter Oats,Breakfast,230,7,25,10,5,60,2,0,Vegetarian
Lentil Pancakes,Breakfast,210,10,22,6,6,50,2,6,Vegetarian
Sweet Potato Hash,Breakfast,180,4,28,6,5,40,1,20,Vegetarian
Egg and Avocado Sandwich,Breakfast,270,14,26,14,5,70,2,6,Non-Vegetarian
Protein Smoothie,Breakfast,220,18,20,7,3,150,1,0,Vegetarian
Hummus Toast,Breakfast,200,6,22,10,4,40,2,0,Vegetarian
Grilled Chicken Salad,Lunch,320,30,10,18,4,100,3,20,Non-Vegetarian
Lentil Soup with Whole Grain Bread,Lunch,290,18,35,6,10,120,3,8,Vegetarian
Quinoa and Black Bean Bowl,Lunch,350,16,40,10,9,130,3,10,Vegetarian
Chickpea Stir Fry,Lunch,300,12,35,12,7,100,2,15,Vegetarian
Paneer Bhurji with Roti,Lunch,400,20,30,20,3,150,2,4,Vegetarian
Grilled Fish with Brown Rice,Lunch,380,28,35,15,2,80,2,0,Non-Vegetarian
Tofu Curry with Quinoa,Lunch,360,18,38,12,5,100,3,10,Vegetarian
Rajma Chawal,Lunch,390,16,45,10,9,90,2,2,Vegetarian
Stuffed Bell Peppers,Lunch,310,12,28,14,6,60,2,80,Vegetarian
Egg Curry with Rice,Lunch,370,22,34,18,2,80,3,2,Non-Vegetarian
Falafel Wrap,Lunch,330,14,38,12,5,70,2,10,Vegetarian
Grilled Chicken Wrap,Lunch,350,28,25,15,2,100,2,4,Non-Vegetarian
Mixed Vegetable Pulao,Lunch,300,6,45,8,4,60,1,10,Vegetarian
Kale & Chickpea Salad,Lunch,280,10,24,12,7,110,3,20,Vegetarian
Egg Fried Rice,Lunch,370,16,40,16,2,70,2,4,Non-Vegetarian
Grilled Salmon with Asparagus,Dinner,400,30,10,25,3,100,2,6,Non-Vegetarian
Vegetable Stir Fry with Tofu,Dinner,320,18,25,15,6,100,2,25,Vegetarian
Mushroom Risotto,Dinner,350,10,45,12,4,80,2,0,Vegetarian
Chicken and Broccoli,Dinner,360,30,12,18,5,90,2,30,Non-Vegetarian
Spinach and Chickpea Curry,Dinner,300,12,30,12,6,130,3,20,Vegetarian
Paneer Tikka with Veggies,Dinner,370,18,20,22,3,120,2,8,Vegetarian
Stuffed Zucchini Boats,Dinner,280,10,20,15,4,90,2,15,Vegetarian
Shrimp Stir Fry with Rice,Dinner,370,25,35,14,2,80,3,6,Non-Vegetarian
Cauliflower Rice Bowl,Dinner,290,8,25,14,6,70,2,25,Vegetarian
Vegetable Lasagna,Dinner,360,14,35,18,4,120,2,15,Vegetarian
Turkey Meatballs with Spaghetti Squash,Dinner,340,24,20,18,3,90,3,4,Non-Vegetarian
Broccoli Cheese Casserole,Dinner,310,10,20,20,4,130,2,10,Vegetarian
Lentil Stew,Dinner,300,16,32,8,8,110,3,10,Vegetarian
Eggplant Parmesan,Dinner,330,12,25,18,5,140,2,6,Vegetarian
Chicken Burrito Bowl,Dinner,380,28,35,15,4,100,3,6,Non-Vegetarian
Roasted Chickpeas,Snacks,180,10,20,6,6,50,2,0,Vegetarian
Trail Mix,Snacks,220,6,18,14,3,60,2,0,Vegetarian
Boiled Eggs,Snacks,140,12,1,10,0,50,1,0,Non-Vegetarian
Apple with Peanut Butter,Snacks,200,5,22,10,3,30,1,5,Vegetarian
Greek Yogurt with Honey,Snacks,180,10,15,5,0,100,0,0,Vegetarian
Granola Bar,Snacks,160,4,20,7,3,30,1,0,Vegetarian
Fruit Salad,Snacks,150,2,28,4,4,40,1,30,Vegetarian
Protein Bar,Snacks,200,15,18,8,2,120,2,0,Vegetarian
Vegetable Soup,Snacks,110,3,15,3,3,60,2,15,Vegetarian
Hummus with Carrot Sticks,Snacks,170,6,12,10,4,50,2,8,Vegetarian
Cucumber Sandwich,Snacks,130,4,18,5,2,40,1,2,Vegetarian
Pumpkin Seeds,Snacks,160,8,5,14,2,20,2,0,Vegetarian
Edamame,Snacks,150,12,10,5,4,60,2,8,Vegetarian
Almonds,Snacks,170,6,6,15,3,70,1,0,Vegetarian
Cheese Cubes,Snacks,190,10,2,16,0,200,0,0,Vegetarian
